max_depth,lambda,eta,min child weight,subsample,ntree_limit,sample type,normalize type,rate drop,avg train,avg test
7,0.1,0.074989421,1,0.8,121,uniform,tree,0.2,0.939218112,0.837312015
7,0.1,0.074989421,1,0.8,41,weighted,forest,0.8,0.936861347,0.83474438
11,0.7,0.316227766,1,0.8,81,weighted,forest,0.8,0.943717462,0.834310224
11,0.7,0.316227766,1,0.8,121,weighted,forest,0.2,0.96632313,0.834264757
11,0.7,0.316227766,1,0.8,81,uniform,forest,0.8,0.939329146,0.833691646
11,0.1,0.316227766,1,0.6,41,weighted,forest,0.5,0.953227517,0.833254615
11,0.1,0.017782794,1,0.8,81,weighted,forest,0.8,0.948899826,0.833187573
11,0.7,0.316227766,1,0.8,41,weighted,forest,0.2,0.96594108,0.832893017
11,0.1,0.017782794,1,0.8,81,uniform,tree,0.5,0.941583092,0.832616061
11,0.1,0.004216965,1,0.8,81,uniform,forest,0.5,0.946738964,0.832145127
7,1.9,0.316227766,1,1,121,weighted,forest,0.2,0.951163788,0.832019224
11,0.1,0.074989421,1,0.8,41,uniform,forest,0.8,0.946775496,0.831375406
11,0.1,0.017782794,1,0.8,121,uniform,forest,0.2,0.955695592,0.830798169
11,1.3,0.316227766,1,0.6,41,uniform,forest,0.2,0.939857959,0.830635005
11,0.1,0.004216965,1,0.8,81,weighted,forest,0.8,0.941287291,0.830615603
11,0.7,0.074989421,1,0.8,41,uniform,forest,0.5,0.941393623,0.830604256
7,0.1,0.017782794,1,0.8,121,weighted,forest,0.2,0.943701953,0.830496873
11,0.1,0.004216965,1,0.8,121,weighted,tree,0.2,0.937345787,0.830488428
11,0.1,0.316227766,1,0.8,41,weighted,forest,0.8,0.956337798,0.830049287
7,0.1,0.074989421,1,0.8,81,weighted,forest,0.8,0.938455379,0.830021523
7,1.3,0.316227766,1,0.8,41,uniform,forest,0.2,0.949706317,0.829955615
11,0.1,0.074989421,1,0.6,41,uniform,forest,0.5,0.936697135,0.829841864
11,0.7,0.316227766,1,1,41,weighted,forest,0.5,0.961234181,0.829704213
11,0.1,0.001,1,0.8,81,uniform,forest,0.5,0.943228242,0.829330015
11,0.1,0.004216965,1,0.8,41,weighted,forest,0.5,0.942791572,0.829196066
11,0.1,0.074989421,1,1,121,weighted,forest,0.5,0.968184773,0.82914734
7,0.1,0.004216965,1,0.8,41,weighted,forest,0.2,0.93939062,0.82887825
11,0.7,0.074989421,1,0.8,41,weighted,forest,0.2,0.939374868,0.828862008
11,1.3,0.316227766,1,0.6,121,uniform,forest,0.2,0.944424343,0.828857625
7,0.1,0.004216965,1,0.8,41,weighted,forest,0.8,0.936643234,0.828799966
11,1.9,0.316227766,1,0.6,121,weighted,forest,0.2,0.939816665,0.828797514
7,0.7,0.316227766,1,0.8,121,weighted,forest,0.2,0.957541714,0.828771582
11,0.1,0.316227766,1,0.6,41,weighted,forest,0.2,0.966849609,0.828700856
11,0.1,0.316227766,1,0.6,81,uniform,forest,0.5,0.956016189,0.828592485
11,0.7,0.316227766,1,0.6,81,uniform,forest,0.2,0.950071586,0.828446609
11,0.7,0.316227766,1,0.6,41,uniform,forest,0.2,0.952775988,0.828384803
11,0.1,0.001,1,0.8,121,weighted,forest,0.2,0.940514684,0.828364615
11,0.1,0.074989421,1,0.8,121,weighted,tree,0.5,0.944605082,0.828337324
11,0.1,0.074989421,1,0.8,121,weighted,forest,0.5,0.952804805,0.828243578
11,1.3,0.316227766,1,0.8,81,weighted,forest,0.2,0.958540806,0.828164774
7,0.1,0.074989421,1,0.6,81,uniform,forest,0.2,0.942275926,0.828049675
7,0.1,0.001,1,0.8,41,weighted,forest,0.8,0.942338649,0.828000114
11,0.1,0.017782794,1,0.8,41,uniform,forest,0.5,0.949000189,0.82790086
11,0.1,0.074989421,1,0.6,81,uniform,forest,0.2,0.944385463,0.827836669
11,1.3,0.074989421,1,1,121,weighted,forest,0.2,0.943496797,0.827830044
7,0.1,0.074989421,1,1,121,uniform,forest,0.5,0.948828218,0.827776319
7,0.1,0.017782794,1,0.8,121,weighted,forest,0.5,0.93917379,0.827660446
11,0.1,0.004216965,1,0.8,121,uniform,forest,0.8,0.940082574,0.827568072
7,1.3,0.316227766,1,0.6,121,weighted,forest,0.2,0.936673305,0.827503859
11,0.1,0.316227766,1,0.6,41,uniform,forest,0.2,0.96305481,0.827381795
11,0.1,0.316227766,1,0.8,121,uniform,forest,0.2,0.984064177,0.827012689
7,0.7,0.074989421,1,1,81,weighted,forest,0.2,0.93936303,0.82683509
11,0.7,0.004216965,1,0.8,121,weighted,forest,0.2,0.937370128,0.826782376
11,0.7,0.316227766,1,0.6,121,uniform,forest,0.2,0.954379037,0.826743853
7,1.3,0.316227766,1,1,41,uniform,forest,0.2,0.954850246,0.826152063
11,0.1,0.316227766,1,0.8,41,uniform,forest,0.2,0.97434786,0.826018403
11,0.1,0.017782794,1,0.8,41,uniform,forest,0.8,0.944013006,0.825972035
11,0.7,0.316227766,1,1,81,uniform,tree,0.2,0.946307194,0.825811894
7,0.1,0.316227766,1,0.8,121,weighted,forest,0.5,0.948730115,0.825528968
11,0.1,0.316227766,1,1,81,uniform,forest,0.2,0.985613268,0.825417914
7,0.7,0.316227766,1,1,81,uniform,forest,0.2,0.95798082,0.825416078
11,0.7,0.316227766,1,1,41,uniform,forest,0.2,0.97683057,0.825318278
11,0.7,0.316227766,1,0.8,121,weighted,tree,0.2,0.936832628,0.825260097
7,0.7,0.316227766,1,0.8,81,weighted,forest,0.2,0.957743906,0.825240327
11,1.9,0.316227766,1,0.8,121,weighted,forest,0.2,0.954636966,0.825099024
11,0.7,0.316227766,1,1,121,uniform,forest,0.2,0.973940305,0.8250906
7,0.1,0.074989421,1,0.6,121,uniform,forest,0.2,0.939632417,0.825090451
7,0.1,0.316227766,1,0.8,81,uniform,forest,0.5,0.950631605,0.825065603
11,0.1,0.316227766,1,0.6,121,weighted,forest,0.8,0.937719555,0.825039452
11,0.1,0.017782794,1,0.8,121,weighted,tree,0.2,0.938270104,0.825017295
7,0.7,0.316227766,1,0.6,121,uniform,forest,0.2,0.942380573,0.825010432
11,0.1,0.004216965,1,0.8,121,uniform,forest,0.5,0.942271047,0.824951513
11,0.7,0.316227766,1,0.6,81,weighted,forest,0.2,0.952939181,0.824869231
7,0.1,0.017782794,1,0.8,81,weighted,forest,0.5,0.938674531,0.824683652
11,1.3,0.316227766,1,0.8,121,uniform,forest,0.2,0.960384216,0.824316626
7,1.9,0.316227766,1,1,81,weighted,forest,0.5,0.940049,0.824277524
7,0.1,0.316227766,1,0.8,81,weighted,tree,0.2,0.941114752,0.824277036
11,0.1,0.316227766,1,0.8,41,weighted,tree,0.2,0.949252926,0.824275967
7,0.1,0.074989421,1,0.8,81,uniform,forest,0.8,0.944621212,0.824242783
11,0.7,0.316227766,1,1,81,uniform,forest,0.5,0.967562079,0.8241626
7,0.1,0.316227766,1,0.8,121,weighted,forest,0.8,0.949129727,0.824157493
11,0.7,0.074989421,1,0.8,81,weighted,forest,0.5,0.938075172,0.824089872
11,0.7,0.316227766,1,1,41,weighted,forest,0.2,0.974231853,0.824009123
7,0.1,0.074989421,1,0.8,81,uniform,forest,0.5,0.946971322,0.823833904
11,0.1,0.316227766,1,0.6,121,uniform,forest,0.2,0.969335599,0.823830164
7,1.9,0.316227766,1,0.8,41,uniform,forest,0.2,0.942264461,0.823802721
11,0.1,0.001,1,0.8,81,uniform,forest,0.8,0.937153149,0.823744549
11,0.7,0.316227766,1,0.6,121,weighted,forest,0.2,0.954763728,0.823734805
7,0.1,0.074989421,1,0.8,121,uniform,forest,0.8,0.941115348,0.823680721
